s16,s9,s8,h16,h15,s17,s3,h6,h5,s2,h3,h4,s1,h1,h2,s10,s7,h14,h13,s6,h11,h12,s5,h9,h10,s4,h8,h7,s13,s20,s18,s15,s12,s19,s14,s11
eth4 s20,eth1 s7,eth2 s8,eth3 s19
eth4 s18,eth1 s1,eth3 s17,eth2 s2
eth4 s16,eth2 h16,eth3 s15,eth1 h15


eth3 s13,eth2 s11,eth1 s9,eth4 s15
eth4 s12,eth3 s11,eth2 h6,eth1 h5


eth1 h3,eth2 h4,eth3 s9,eth4 s10


eth4 s10,eth1 h1,eth3 s9,eth2 h2


eth2 s2,eth3 s19,eth1 s1,eth4 s20
eth3 s15,eth2 h14,eth1 h13,eth4 s16


eth4 s14,eth1 h11,eth2 h12,eth3 s13


eth1 h9,eth3 s13,eth2 h10,eth4 s14


eth2 h8,eth3 s11,eth1 h7,eth4 s12


eth4 s18,eth3 s17,eth2 s6,eth1 s5
eth1 s10,eth3 s14,eth2 s12,eth4 s16
eth2 s11,eth3 s13,eth1 s9,eth4 s15
eth4 s18,eth1 s7,eth3 s17,eth2 s8
eth1 s3,eth2 s4,eth3 s19,eth4 s20
eth1 s10,eth3 s14,eth2 s12,eth4 s16
eth4 s20,eth2 s6,eth3 s19,eth1 s5
eth1 s3,eth3 s17,eth2 s4,eth4 s18
